# Russian noun lemmas (nominative singular) used to resolve player
# challenges in scripts/wordsgame_spike.py. Format: <word>\t<pos>.
# Currently only nouns (pos=n) are loaded. Comments (#) and blank lines
# are ignored. Pluralia tantum (ножницы, штаны, очки, ...) are
# intentionally excluded — игра-в-слова rules require singular forms.

# а
апельсин	n
арбуз	n
артист	n
акула	n
аист	n
ананас	n
абрикос	n
автобус	n
автомобиль	n
антенна	n
аромат	n
актёр	n
актриса	n
академия	n
алмаз	n
алфавит	n
азбука	n
аптека	n
август	n
акация	n
аллея	n
акробат	n
армия	n
ангел	n
астра	n

# б
банан	n
банк	n
баран	n
барсук	n
бабушка	n
башня	n
белка	n
берёза	n
билет	n
блокнот	n
бобёр	n
болото	n
борщ	n
ботинок	n
бочка	n
брат	n
букварь	n
букет	n
бумага	n
бутылка	n
барабан	n
борода	n
балкон	n
бык	n
буря	n

# в
ваза	n
валенок	n
вагон	n
ведро	n
вертолёт	n
ветер	n
виноград	n
волк	n
ворона	n
врач	n
вилка	n
верблюд	n
ветка	n
веник	n
веер	n
велосипед	n
винт	n
война	n
вода	n
вокзал	n
вол	n
восток	n
всадник	n
вулкан	n
вишня	n

# г
газета	n
гитара	n
голубь	n
гора	n
гриб	n
груша	n
гусь	n
глаз	n
голос	n
голова	n
город	n
гость	n
гончар	n
граница	n
гранит	n
груз	n
гром	n
гроза	n
гном	n
гнездо	n

# д
дверь	n
дельфин	n
дерево	n
диван	n
дождь	n
доктор	n
дом	n
дорога	n
дуб	n
девочка	n
день	n
директор	n
доска	n
дочь	n
друг	n
дятел	n
динозавр	n
дама	n
дрозд	n
дракон	n
дед	n
дельтаплан	n
добавка	n
дрожь	n
дрова	n

# е
енот	n
ель	n
ежевика	n
единица	n
единорог	n
едок	n
ересь	n
еда	n
европеец	n
есаул	n

# ё
ёж	n
ёлка	n
ёрш	n

# ж
жаба	n
жемчуг	n
жираф	n
журнал	n
жёлудь	n
женщина	n
журавль	n
жажда	n
желе	n
жетон	n
жилет	n
жук	n
жакет	n
жасмин	n
жнец	n

# з
заяц	n
зебра	n
зеркало	n
змея	n
золото	n
зонт	n
звезда	n
замок	n
забор	n
зал	n
зима	n
знак	n
зубр	n
зуб	n
зодиак	n
зной	n
запад	n
звон	n
звук	n
зрелище	n

# и
игла	n
икра	n
индюк	n
иголка	n
ива	n
икона	n
изба	n
изюм	n
иней	n
инженер	n
имбирь	n
истина	n
искра	n
источник	n
ишак	n

# й
йог	n
йогурт	n

# к
кабан	n
картина	n
карандаш	n
кенгуру	n
кит	n
книга	n
корова	n
кот	n
кран	n
крыша	n
картофель	n
капуста	n
кошка	n
козёл	n
конь	n
конец	n
ковёр	n
кокос	n
колесо	n
колобок	n
комар	n
конверт	n
кораблик	n
корзина	n
костюм	n
котёл	n
кочан	n
кулак	n
курица	n
куст	n

# л
лампа	n
лебедь	n
лев	n
лес	n
лимон	n
лиса	n
ложка	n
лошадь	n
луна	n
лужа	n
лагерь	n
лагуна	n
ластик	n
лёд	n
легенда	n
лестница	n
ливень	n
лимузин	n
лист	n
лоб	n
лодка	n
локон	n
лопата	n
лук	n
лужайка	n

# м
магазин	n
мак	n
малина	n
медведь	n
мел	n
мешок	n
молоко	n
мост	n
мяч	n
мама	n
машина	n
маяк	n
маска	n
медаль	n
мечта	n
метро	n
миска	n
мир	n
мишка	n
молот	n
монета	n
морковь	n
морс	n
муравей	n
мука	n

# н
небо	n
нога	n
нос	n
нота	n
носок	n
ножик	n
навес	n
надежда	n
надпись	n
нарвал	n
насос	n
начало	n
нерв	n
нитка	n
номер	n
нюанс	n
ныряльщик	n
нимфа	n
нора	n
носорог	n

# о
облако	n
овца	n
огонь	n
окно	n
олень	n
орех	n
осёл	n
остров	n
обед	n
образ	n
обувь	n
овраг	n
овощ	n
огород	n
ослик	n
осьминог	n
ответ	n
отец	n
орёл	n
оркестр	n

# п
парус	n
паук	n
перо	n
петух	n
пингвин	n
поезд	n
поле	n
потолок	n
птица	n
парк	n
паровоз	n
паспорт	n
перец	n
печать	n
печь	n
пирог	n
плащ	n
полёт	n
помидор	n
пончик	n
попугай	n
почка	n
праздник	n
прибор	n
призрак	n
причал	n
пчела	n
пыль	n
пятница	n
пюре	n

# р
радуга	n
ракета	n
ракушка	n
ребёнок	n
река	n
репа	n
рис	n
рукав	n
рыба	n
радио	n
рай	n
ракурс	n
расцвет	n
рассказ	n
ребус	n
рейс	n
реликвия	n
ремень	n
ремесло	n
ресница	n
ресторан	n
ритм	n
родник	n
роза	n
рукоятка	n

# с
сад	n
самолёт	n
свеча	n
свинья	n
скала	n
слон	n
снег	n
собака	n
солнце	n
стол	n
сапог	n
сахар	n
свобода	n
семя	n
серьга	n
скакун	n
скворец	n
скрипка	n
сметана	n
снеговик	n
сон	n
сосна	n
столб	n
сук	n
суп	n
счёт	n
сыр	n
синица	n
скрепка	n
снегирь	n

# т
тарелка	n
телевизор	n
тигр	n
топор	n
торт	n
трава	n
троллейбус	n
туча	n
такси	n
танец	n
танк	n
тарантул	n
тележка	n
тень	n
теплоход	n
термос	n
тетрадь	n
тигрёнок	n
тигрица	n
тираж	n
ткань	n
толпа	n
тополь	n
торжество	n
треск	n

# у
ужин	n
улитка	n
улица	n
утка	n
ухо	n
утюг	n
удар	n
удача	n
узор	n
ум	n
уровень	n
ущелье	n
успех	n
уголь	n
уголёк	n

# ф
фабрика	n
фасоль	n
ферма	n
фонарь	n
фонтан	n
футбол	n
факел	n
факт	n
фантом	n
фасад	n
фея	n
фигурка	n
физик	n
фильм	n
флаг	n
флейта	n
флот	n
форма	n
фрукт	n
фонтанчик	n

# х
халат	n
хвост	n
хлеб	n
холм	n
хомяк	n
характер	n
хирург	n
хлопок	n
хобот	n
ход	n
холод	n
хор	n
художник	n
хитрость	n
хобби	n
хозяин	n
хром	n

# ц
цапля	n
цветок	n
цемент	n
цирк	n
цыплёнок	n
царь	n
цель	n
цена	n
центр	n
церковь	n
цифра	n
цоколь	n

# ч
чайник	n
чашка	n
человек	n
черепаха	n
чердак	n
число	n
чудо	n
чулок	n
чугун	n
чтение	n
чугунок	n
чабрец	n
час	n
червь	n
чек	n
черта	n
череп	n
честь	n
чибис	n
чтиво	n

# ш
шапка	n
шарик	n
шкаф	n
школа	n
шляпа	n
шоколад	n
шуба	n
шарф	n
шахта	n
швея	n
шейка	n
шеренга	n
шест	n
шиповник	n
ширма	n
шифон	n
шкатулка	n
шлейф	n
шорох	n
штора	n
шум	n

# щ
щенок	n
щука	n
щит	n
щётка	n
щепка	n
щель	n

# э
экран	n
элемент	n
экскаватор	n
эскимо	n
эпоха	n
этаж	n
эхо	n
экзамен	n
эликсир	n

# ю
юбка	n
юг	n
юла	n
юноша	n
юбилей	n
юрист	n
юстиция	n

# я
яблоко	n
ягода	n
якорь	n
ястреб	n
ящерица	n
явь	n
яд	n
ящик	n
ясень	n
ярмарка	n
ягнёнок	n
янтарь	n
